"species","longitude","latitude","BIO1AnnMeanTemp","BIO2MeanDiurnalRange","BIO3Isotherm","BIO4TSeas","BIO5TWarmestMonth","BIO6MinTColdestMonth","BIO7TAnnRange","BIO8MeanTWettestQ","BIO9MeanTDriestQ","BIO10MeanTWarmestQ","BIO11MeanTColdestQ","BIO12AnnPrec","BIO13PrecWettestMonth","BIO14PrecDriestMonth","BIO15PrecSeas.COV","BIO16PrecWettestQ","BIO17PrecDriestQ","BIO18PrecWarmestQ","BIO19PrecColdestQ","EVMannPET","EVMthornthwaiteAI","EVMclimaticMI","EVMcontinentality","EVMembergerQ","EVMgrowingDegDays0","EVMgrowingDegDays5","EVMmaxTempColdest","EVMminTempWarmest","EVMmonthCountByT10","EVMPETColdestQ","EVMPETDriestQ","EVMPETseas","EVMPETWarmestQ","EVMPETWettestQ","EVMthermicityIndex","TotalCult","IrrCult","Rain.fedCult","Forested","Grass.Woodland","Barren","Urban","Water","roughness","slope","cos.asp.rad","vrm"
"Zeamays","-108.724383442021","30.9020824070089","15.9784183502197","19.7857513427734","51.0075912475586","710.567138671875","35.2574005126953","-3.53238344192505","38.7897834777832","23.9286994934082","19.6333332061768","24.852466583252","7.41065835952759","399.889312744141","90.1065673828125","5","75.3384094238281","214.787124633789","32","184.787124633789","76.8564147949219","2496271.75","99.9839782714844","-0.999839782714844","18.9877128601074","375.174957275391","69026.765625","69026.765625","168.143585205078","160","9","99414.5390625","299845.90625","9201110","313001.21875","274551.46875","185.528167724609","16.3238334655762","16.3238334655762","0","6.10217809677124","65.3200607299805","12.253927230835","0","0","11.2413730621338","0.274276673793793","0.488094419240952","0.0110704032704234"
"Zeamays","-110.882531531583","30.7991386360366","19.3595218658447","20.4231224060059","54.4566078186035","654.006652832031","37.8839874267578","0.380756348371506","37.503231048584","27.016242980957","22.2107906341553","27.5054531097412","11.5681343078613","432.377990722656","116.756355285645","3.75635528564453","96.9274673461914","260.352569580078","24.5127105712891","230.352569580078","89.7563552856445","2740804.75","99.9842224121094","-0.99984222650528","17.1343460083008","419.066650390625","83633.1328125","83633.1328125","207.596221923828","185.647430419922","12","118605.859375","324936","9347005","331888.40625","292709.375","227.336502075195","9.95598030090332","9.95598030090332","0","51.6007499694824","36.9631690979004","0","2","0","42.8421669006348","0.704965174198151","-0.849385917186737","0.190475463867188"
"Zeamays","-108.194007458408","30.8709156659515","16.533561706543","18.9454002380371","50.1203918457031","709.764465332031","35.2999992370605","-2.49978446960449","37.7997856140137","24.2798805236816","16.0408573150635","25.3169231414795","7.84293222427368","331.106048583984","75.7732162475586","5","81.8306503295898","190.763381958008","23.7808933258057","157.763381958008","51.7808952331543","2483923.75","99.9866714477539","-0.999866664409637","18.900276184082","318.711578369141","71424.984375","71424.984375","165","165.007675170898","9","99321.484375","240245","9017032","309717.75","273386.84375","183.53515625","8","8","0","2.21910619735718","87.992317199707","2","0","0","12.7336072921753","0.237151831388474","0.465972304344177","0.124088488519192"
"Zeamays","-108.633722636012","30.8201363290475","16.0409641265869","19.2384490966797","51.0703315734863","689.446960449219","34.7832641601562","-2.88705658912659","37.6703186035156","23.7529201507568","15.1675119400024","24.7021579742432","7.76206398010254","406.714080810547","91.0457534790039","5","75.7736892700195","219.045745849609","33.083683013916","189.045745849609","75","2462239","99.9834823608398","-0.999834835529327","18.422664642334","392.903625488281","69296.9609375","69296.9609375","169.417282104492","161.167373657227","9","100223.734375","238591.265625","8913267","306762.1875","268491.4375","184.684509277344","9.87838363647461","9.87838363647461","0","1.96206748485565","88.5369720458984","0","0","0","9.66088390350342","0.245519652962685","0.940516769886017","0.0842956677079201"
"Zeamays","-110.256925107288","30.6098698064541","17.9880676269531","21.1131858825684","55.3473052978516","638.983032226562","36.9795761108398","-1.16689896583557","38.1464767456055","25.3630065917969","16.9410438537598","25.9501171112061","10.3464803695679","505.703979492188","143.542190551758","5","101.402854919434","313.084381103516","27.5421886444092","282.626556396484","95.8731994628906","2692895.75","99.9812240600586","-0.999812185764313","17.0274562835693","482.110931396484","77708.453125","77708.453125","206.457809448242","165.542190551758","10","115759.75","258158.234375","9182209","328362.1875","291154.21875","223.27897644043","2","2","0","77.1044921875","21","0","0","0","54.7862548828125","1.44356870651245","-0.00788625329732895","0.0822118148207664"
"Zeamays","-108.010509276714","30.5807016747191","16.4981136322021","19.273868560791","51.0609703063965","686.440734863281","35.0423049926758","-2.7043993473053","37.7467041015625","23.9235382080078","16.1235885620117","24.9172210693359","8.01524257659912","319.382049560547","76.7611083984375","6","87.2256546020508","190.761108398438","21.9560070037842","160.761108398438","47","2478889","99.9871139526367","-0.999871134757996","18.4924545288086","307.887084960938","71271.8515625","71271.8515625","167.238891601562","159.620941162109","9","101071.5625","240218.21875","8815376","306678.875","270873.40625","183.494873046875","4.85983514785767","4.85983514785767","0","2","93","0","0","0","5.0854344367981","0.130395963788033","0.670015215873718","0.212183937430382"
"Zeamays","-107.964519046184","30.4976700698862","16.2133750915527","19.2544021606445","51.6233444213867","668.907958984375","34.6220359802246","-2.67577147483826","37.2978057861328","23.4740219116211","15.7829780578613","24.4573554992676","7.96315288543701","309.053405761719","77","5","91.629638671875","190","19","162","45","2462464.5","99.9874496459961","-0.999874532222748","18.0231323242188","301.535766601562","70041.7734375","70041.7734375","167.757720947266","155.242279052734","9","101168.109375","237740.921875","8691038","304663.375","269543.90625","181.41096496582","10.7577152252197","10.7577152252197","0","3.22036528587341","82.6515426635742","0","2.77963471412659","0","22.4954032897949","0.529433190822601","0.628624260425568","0.080746129155159"
"Zeamays","-107.918590037201","30.4146401758483","16.2110195159912","18.6901397705078","50.964183807373","666.685791015625","34.2999992370605","-2.37308049201965","36.6730804443359","23.418025970459","15.855845451355","24.3648986816406","7.94115447998047","305.474029541016","77","5.7432222366333","91.771240234375","187.799926757812","19.743221282959","159.799926757812","44","2387998.5","99.9872055053711","-0.999872088432312","17.9771575927734","303.120849609375","70031.609375","70031.609375","164","156.812347412109","9","98656.3046875","231611.953125","8314139","292206.375","258787.828125","177.837936401367","8.7999267578125","8.7999267578125","0","3","82.2000732421875","0","6","0","5.48644399642944","0.132027626037598","0.97846657037735","0.0282497070729733"
"Zeamays","-110.156806482239","30.3194180016699","19.6767253875732","19.7249965667725","53.7822074890137","631.581909179688","37.607421875","0.931677579879761","36.6757469177246","26.8140964508057","18.6637477874756","27.3474311828613","12.0237236022949","481.833679199219","142.809707641602","5","103.922973632812","302.758453369141","26.8531074523926","275.789276123047","88.0956497192383","2712657","99.9822311401367","-0.999822318553925","16.614688873291","477.595336914062","85003.453125","85003.453125","217.927337646484","186.78044128418","12","119504.53125","262771.625","9015564","325460.28125","286729.84375","238.535751342773","2","2","0","79","18","0","0","0","173.326522827148","5.01247453689575","0.471865057945251","0.11962304264307"
"Zeamays","-107.961532528451","30.3719878789109","16.0995922088623","18.58251953125","50.8762512207031","663.769470214844","34.1132164001465","-2.41160988807678","36.5248260498047","23.2565517425537","15.7338695526123","24.2145023345947","7.86666679382324","312.883911132812","79","6","92.8484878540039","193","19","167","46","2394259.75","99.986930847168","-0.999869346618652","17.9508037567139","311.748474121094","69550.2421875","69550.2421875","162.116104125977","155.883895874023","9","98753.1171875","231219.765625","8379646","294786.8125","261035.109375","175.804092407227","10","10","0","3.74540019035339","81.116096496582","0","5.11609745025635","0","32.9799156188965","0.793632030487061","0.440556466579437","0.0168539546430111"
"Zeamays","-108.04732946897","30.2866616343639","15.8873014450073","18.6304702758789","51.6191673278809","648.305053710938","33.6921119689941","-2.40000009536743","36.0921096801758","22.8831882476807","15.4148445129395","23.8318119049072","7.88608598709106","330.737884521484","82","6","92.1657867431641","202","20","178","49","2381163.75","99.9861068725586","-0.999861121177673","17.4509048461914","333.511993408203","68633.140625","68633.140625","163.082580566406","151.179534912109","9","99104.6328125","228918.734375","8280290.5","293333.34375","260318.875","176.569869995117","8.73788738250732","8.73788738250732","0","27.5349159240723","63.483154296875","0","0.737887382507324","0","31.1893749237061","0.613496065139771","-0.812271058559418","0.415094196796417"
